                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    109,                 2.0378,                 1.3128,                 1.2896,                0.70576,                0.72022,                0.76813,                0.43795,                 1.6546,                 1.0146,                 1.2683,              0.0008045,              0.0008045,              0.0008045
                    110,                 2.0164,                 1.2988,                 1.2878,                0.71284,                0.72749,                0.78063,                0.44568,                 1.6584,                 1.0034,                 1.2683,             0.00080038,             0.00080038,             0.00080038
                    111,                 2.0197,                 1.2999,                 1.2833,                0.69455,                0.73752,                0.77819,                0.45356,                 1.6254,                 1.0037,                 1.2596,             0.00079625,             0.00079625,             0.00079625
                    112,                 2.0292,                 1.3052,                 1.2879,                0.73745,                0.73955,                0.79847,                 0.4627,                 1.6664,                0.97601,                 1.2666,             0.00079213,             0.00079213,             0.00079213
                    113,                 1.9945,                 1.2916,                 1.2772,                0.70882,                0.73182,                 0.7755,                 0.4439,                 1.6723,                0.99597,                 1.2653,               0.000788,               0.000788,               0.000788
                    114,                 2.0264,                 1.2954,                 1.2869,                 0.7472,                0.72539,                0.78013,                0.44796,                 1.6473,                 1.0076,                 1.2627,             0.00078387,             0.00078387,             0.00078387
                    115,                 1.9869,                 1.2827,                 1.2775,                0.73607,                 0.7265,                0.76606,                 0.4398,                 1.6625,                 1.0062,                 1.2775,             0.00077975,             0.00077975,             0.00077975
                    116,                 2.0125,                  1.292,                 1.2816,                0.73924,                0.73653,                0.77905,                0.44174,                 1.6974,                 1.0089,                 1.2746,             0.00077563,             0.00077563,             0.00077563
                    117,                 1.9856,                 1.2921,                 1.2804,                0.70503,                0.72346,                 0.7696,                0.43776,                  1.669,                 1.0107,                 1.2766,              0.0007715,              0.0007715,              0.0007715
                    118,                 1.9948,                 1.2808,                 1.2802,                0.72384,                0.71495,                 0.7643,                0.42953,                 1.7401,                 1.0083,                 1.2846,             0.00076738,             0.00076738,             0.00076738
