                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.7213,                 1.0595,                 1.5122,                0.68861,                0.66688,                 0.7143,                0.40016,                 1.7072,                 1.0446,                 1.7188,             0.00099013,             0.00099013,             0.00099013
                     65,                 1.6978,                 1.0484,                 1.5004,                0.63291,                 0.6949,                0.68346,                0.37655,                 1.7397,                 1.0795,                 1.7228,               0.000986,               0.000986,               0.000986
                     66,                  1.764,                 1.0758,                 1.5267,                0.65801,                0.65487,                0.70313,                0.38006,                 1.8606,                 1.0938,                 1.7346,             0.00098187,             0.00098187,             0.00098187
                     67,                 1.7085,                 1.0442,                 1.5078,                0.65767,                0.70692,                  0.702,                0.39085,                  1.758,                 1.0709,                 1.7201,             0.00097775,             0.00097775,             0.00097775
                     68,                 1.7013,                 1.0415,                 1.5035,                0.63719,                0.67071,                0.66771,                0.35174,                 2.0405,                 1.2032,                 1.7908,             0.00097362,             0.00097362,             0.00097362
                     69,                 1.7099,                  1.042,                 1.5029,                0.64938,                0.69011,                 0.6982,                0.38011,                 1.9555,                 1.0766,                 1.7668,              0.0009695,              0.0009695,              0.0009695
                     70,                 1.6828,                 1.0378,                 1.5071,                0.65883,                0.70699,                0.70095,                0.39092,                 1.8131,                 1.0719,                 1.7213,             0.00096537,             0.00096537,             0.00096537
                     71,                 1.6832,                 1.0531,                 1.5114,                0.61566,                0.73928,                0.70014,                0.40157,                 1.7062,                 1.0277,                 1.7059,             0.00096125,             0.00096125,             0.00096125
                     72,                 1.6777,                  1.012,                 1.4922,                0.63797,                 0.7537,                 0.7275,                0.40979,                 1.7518,                 1.0192,                 1.7182,             0.00095712,             0.00095712,             0.00095712
                     73,                 1.6734,                 1.0196,                 1.4893,                0.65419,                0.69097,                 0.7062,                0.39982,                 1.8581,                   1.01,                 1.7251,               0.000953,               0.000953,               0.000953
                     74,                 1.7114,                 1.0383,                 1.5091,                0.62402,                0.71681,                 0.7148,                 0.4018,                 1.8725,                 1.0778,                 1.7275,             0.00094887,             0.00094887,             0.00094887
                     75,                 1.6831,                0.99102,                  1.481,                0.66357,                0.71163,                0.72279,                0.40787,                 1.8196,                  1.042,                 1.7181,             0.00094475,             0.00094475,             0.00094475
                     76,                  1.677,                 1.0211,                    1.5,                0.63475,                0.70665,                0.69759,                0.38598,                 1.8937,                 1.0842,                  1.741,             0.00094062,             0.00094062,             0.00094062
                     77,                 1.7021,                 1.0072,                 1.4948,                0.72027,                0.65098,                0.70365,                0.39868,                 1.8292,                 1.0182,                 1.7335,              0.0009365,              0.0009365,              0.0009365
                     78,                 1.6805,                 1.0105,                 1.5022,                0.69235,                0.66264,                0.71206,                0.39006,                 1.8973,                  1.048,                 1.7516,             0.00093238,             0.00093238,             0.00093238
                     79,                 1.7052,                 1.0021,                 1.4887,                0.65153,                0.71478,                0.70493,                0.40144,                 1.8367,                 1.0104,                 1.7356,             0.00092825,             0.00092825,             0.00092825
                     80,                 1.6777,                0.99569,                 1.5071,                0.67599,                 0.6924,                0.72225,                0.40611,                 1.8181,                 1.0207,                 1.7377,             0.00092413,             0.00092413,             0.00092413
